Experiment,Model,Accuracy,Macro F1,Weighted F1,Train Time (s),Inference Time (s),Num Classes,Class 0 F1,Class 1 F1,Class 2 F1,Class 3 F1,Class 4 F1,Solver,Max Iter,Sequence Length,Stride,Class 5 F1
tsf,tsf,0.9984217071071008,0.9823707211354844,0.9984110889135941,7632.62324258592,2205.985449729953,5,0.9992233946866156,0.9968607305936074,0.9950809266899397,0.9719853836784409,0.9487031700288184,,,100,50,
minirocket_v3,minirocket,0.9884165606845484,0.8906260128485346,0.9895592624963002,9846.785987059004,9.967115142033435,5,0.9937369724853982,0.9905891656781336,0.9801682692307693,0.786449864498645,0.7021857923497268,,30000,100,50,
minirocket_saga,minirocket,0.9853722520350783,0.8124676520475292,0.9836805133008643,2323.8432429509703,8.939133479027078,5,0.9930027838386878,0.9537089582488852,0.9360900569583352,0.37367303609341823,0.8058634250983197,saga,3000,100,50,
knn,knn,0.9822570424563627,0.7532157036523625,0.980474953532398,59.11219212499998,1860.7964531670004,5,0.9931224477833571,0.829520295202952,0.9636063967214575,0.09380637402285028,0.8860230045311955,,,100,50,
minirocket_v2,minirocket,0.9792924973522934,0.8365733003426801,0.9824766602619757,2186.243065748946,9.924871666938998,5,0.9886562449876001,0.9837557874911717,0.9684237331296155,0.6876926725160066,0.5543380635890066,,,100,50,
lr_lbgfgs_v2,lr,0.9521507353755755,0.6003999933155065,0.9467703694596744,454.28498075401876,0.6886707489611581,5,0.9749211998333699,0.6854634475772413,0.758617254433154,0.009271523178807948,0.5737265415549598,,2000,100,50,
minirocket,minirocket,0.9505643270837119,0.733353937708568,0.960688371762936,255.63695605201065,10.320976406015689,5,0.9723075534201162,0.9334624841666046,0.9109528762300985,0.44278074866310163,0.40726602606291956,,,100,50,
lr_lbfgs,lr,0.748567579663841,,0.8175506331552135,318.06572121799763,0.2083378419993096,6,0.8428999110871008,0.6265562327446997,0.6437051694286421,0.08376047759753964,0.23683507083667468,,,100,50,0.0
catch22_lr,catch22_lr,0.5425604984335326,0.2927148182392415,0.656555489707789,980.084627248,131.70548042199994,5,0.7008276204575958,0.10728061394728061,0.2942911450481746,0.2247691817892391,0.13640552995391705,lbfgs,3000,100,50,
